Source    Target    Mean latency there    Mean latency back     Min. RTT        Mean RTT        Max. RTT        Smp.std. RTT    Reply arrival
625       626       72.11 ms              72.22 ms              138.94 ms       144.33 ms       155.19 ms       4.17 ms         120/120 (100%)
626       627       70.37 ms              67.27 ms              119.71 ms       137.64 ms       283.32 ms       22.42 ms        119/120 (99%)
627       628       63.16 ms              66.50 ms              115.37 ms       129.67 ms       306.80 ms       24.78 ms        120/120 (100%)
628       629       74.17 ms              74.17 ms              135.48 ms       148.34 ms       159.37 ms       7.47 ms         120/120 (100%)
629       630       80.67 ms              80.72 ms              102.20 ms       161.39 ms       195.95 ms       23.45 ms        120/120 (100%)
630       631       62.52 ms              62.51 ms              104.90 ms       125.03 ms       213.65 ms       30.11 ms        120/120 (100%)
631       632       88.50 ms              88.67 ms              117.19 ms       177.17 ms       192.72 ms       19.08 ms        120/120 (100%)
632       633       67.00 ms              66.35 ms              116.67 ms       133.35 ms       202.03 ms       19.67 ms        120/120 (100%)
633       634       88.17 ms              88.30 ms              101.79 ms       176.47 ms       284.13 ms       32.99 ms        120/120 (100%)
634       635       47.78 ms              48.08 ms              75.11 ms        95.87 ms        217.98 ms       37.17 ms        120/120 (100%)
635       636       46.99 ms              47.03 ms              67.85 ms        94.02 ms        178.41 ms       33.43 ms        120/120 (100%)
636       637       46.08 ms              45.31 ms              38.09 ms        91.40 ms        193.57 ms       35.71 ms        120/120 (100%)
637       638       45.25 ms              45.26 ms              63.37 ms        90.52 ms        160.66 ms       30.05 ms        120/120 (100%)
638       639       83.24 ms              83.39 ms              90.40 ms        166.64 ms       210.37 ms       26.10 ms        120/120 (100%)
639       640       96.48 ms              96.41 ms              177.73 ms       192.89 ms       325.82 ms       19.31 ms        119/120 (99%)
640       641       48.49 ms              48.21 ms              75.45 ms        96.70 ms        132.17 ms       13.38 ms        120/120 (100%)
641       642       51.53 ms              51.39 ms              30.90 ms        102.92 ms       213.78 ms       82.95 ms        120/120 (100%)
642       643       88.01 ms              88.35 ms              67.53 ms        176.35 ms       246.52 ms       46.73 ms        120/120 (100%)
643       644       66.02 ms              67.31 ms              105.65 ms       133.34 ms       334.15 ms       27.25 ms        120/120 (100%)
644       645       62.54 ms              63.24 ms              60.79 ms        125.78 ms       289.70 ms       49.61 ms        120/120 (100%)
645       646       59.81 ms              58.61 ms              67.20 ms        118.42 ms       187.01 ms       40.75 ms        119/120 (99%)
646       647       77.74 ms              77.92 ms              132.57 ms       155.66 ms       253.96 ms       21.51 ms        120/120 (100%)
647       648       73.69 ms              73.63 ms              83.66 ms        147.32 ms       184.73 ms       40.28 ms        120/120 (100%)
648       649       73.75 ms              72.27 ms              132.41 ms       146.02 ms       340.45 ms       22.50 ms        119/120 (99%)
649       650       71.81 ms              71.04 ms              123.39 ms       142.84 ms       222.14 ms       12.16 ms        119/120 (99%)
650       651       50.31 ms              51.63 ms              60.66 ms        101.94 ms       241.67 ms       46.16 ms        120/120 (100%)
651       652       45.02 ms              45.48 ms              74.30 ms        90.50 ms        160.44 ms       12.82 ms        120/120 (100%)
