TCP Flow ID     Source    Target    Size            Start time (ns)   End time (ns)     Duration        Sent            Progress     Avg. rate       Finished?     Metadata
0               630       639       40.00 Mbit      0                 7626310815        7626.31 ms      40.00 Mbit      100.0%       5.2 Mbit/s      YES           handover_eval
1               662       674       40.00 Mbit      3000000000        7845742933        4845.74 ms      40.00 Mbit      100.0%       8.3 Mbit/s      YES           handover_eval
2               704       654       40.00 Mbit      6000000000        14854487589       8854.49 ms      40.00 Mbit      100.0%       4.5 Mbit/s      YES           handover_eval
3               640       655       40.00 Mbit      9000000000        15840663409       6840.66 ms      40.00 Mbit      100.0%       5.8 Mbit/s      YES           handover_eval
4               640       717       40.00 Mbit      12000000000       20491220995       8491.22 ms      40.00 Mbit      100.0%       4.7 Mbit/s      YES           handover_eval
5               706       684       40.00 Mbit      15000000000       23253720645       8253.72 ms      40.00 Mbit      100.0%       4.8 Mbit/s      YES           handover_eval
6               684       670       40.00 Mbit      18000000000       26173887834       8173.89 ms      40.00 Mbit      100.0%       4.9 Mbit/s      YES           handover_eval
7               662       659       40.00 Mbit      21000000000       28893575833       7893.58 ms      40.00 Mbit      100.0%       5.1 Mbit/s      YES           handover_eval
8               695       639       40.00 Mbit      24000000000       29327357258       5327.36 ms      40.00 Mbit      100.0%       7.5 Mbit/s      YES           handover_eval
9               689       720       40.00 Mbit      27000000000       34977481696       7977.48 ms      40.00 Mbit      100.0%       5.0 Mbit/s      YES           handover_eval
10              697       674       40.00 Mbit      30000000000       38936844417       8936.84 ms      40.00 Mbit      100.0%       4.5 Mbit/s      YES           handover_eval
11              696       667       40.00 Mbit      33000000000       39465486612       6465.49 ms      40.00 Mbit      100.0%       6.2 Mbit/s      YES           handover_eval
12              641       713       40.00 Mbit      36000000000       42301713327       6301.71 ms      40.00 Mbit      100.0%       6.3 Mbit/s      YES           handover_eval
13              649       660       40.00 Mbit      39000000000       48591537226       9591.54 ms      40.00 Mbit      100.0%       4.2 Mbit/s      YES           handover_eval
14              659       720       40.00 Mbit      42000000000       50318005471       8318.01 ms      40.00 Mbit      100.0%       4.8 Mbit/s      YES           handover_eval
15              670       700       40.00 Mbit      45000000000       59239875539       14239.88 ms     40.00 Mbit      100.0%       2.8 Mbit/s      YES           handover_eval
16              668       700       40.00 Mbit      48000000000       54891131097       6891.13 ms      40.00 Mbit      100.0%       5.8 Mbit/s      YES           handover_eval
17              694       668       40.00 Mbit      51000000000       56021946287       5021.95 ms      40.00 Mbit      100.0%       8.0 Mbit/s      YES           handover_eval
18              705       716       40.00 Mbit      54000000000       58486982773       4486.98 ms      40.00 Mbit      100.0%       8.9 Mbit/s      YES           handover_eval
19              701       633       40.00 Mbit      57000000000       62084855314       5084.86 ms      40.00 Mbit      100.0%       7.9 Mbit/s      YES           handover_eval
20              708       694       40.00 Mbit      60000000000       64317641212       4317.64 ms      40.00 Mbit      100.0%       9.3 Mbit/s      YES           handover_eval
21              645       673       40.00 Mbit      63000000000       71542723505       8542.72 ms      40.00 Mbit      100.0%       4.7 Mbit/s      YES           handover_eval
22              657       661       40.00 Mbit      66000000000       74873978761       8873.98 ms      40.00 Mbit      100.0%       4.5 Mbit/s      YES           handover_eval
23              682       647       40.00 Mbit      69000000000       74790828377       5790.83 ms      40.00 Mbit      100.0%       6.9 Mbit/s      YES           handover_eval
24              665       655       40.00 Mbit      72000000000       79466746564       7466.75 ms      40.00 Mbit      100.0%       5.4 Mbit/s      YES           handover_eval
25              669       629       40.00 Mbit      75000000000       85662708334       10662.71 ms     40.00 Mbit      100.0%       3.8 Mbit/s      YES           handover_eval
