UDP burst ID    From      To        Target rate         Start time      Duration        Incoming rate (w/ headers)  Incoming rate (payload)     Packets received   Data received (w/headers)   Data received (payload)     Metadata
0               643       688       2.00 Mbit/s         0.00 ms         12000.00 ms     1.94 Mbit/s                 1.90 Mbit/s                 1941               23.29 Mbit                  22.86 Mbit                  handover_eval
1               629       648       2.00 Mbit/s         10000.00 ms     12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
2               701       706       2.00 Mbit/s         20000.00 ms     12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
3               712       718       2.00 Mbit/s         30000.00 ms     12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
4               650       629       2.00 Mbit/s         40000.00 ms     12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
5               679       702       2.00 Mbit/s         50000.00 ms     12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
6               636       637       2.00 Mbit/s         60000.00 ms     12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
7               668       679       2.00 Mbit/s         70000.00 ms     12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
8               655       651       2.00 Mbit/s         80000.00 ms     12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
9               686       693       2.00 Mbit/s         90000.00 ms     12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
10              641       635       2.00 Mbit/s         100000.00 ms    12000.00 ms     1.98 Mbit/s                 1.95 Mbit/s                 1983               23.80 Mbit                  23.35 Mbit                  handover_eval
11              682       721       2.00 Mbit/s         110000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
12              647       681       2.00 Mbit/s         120000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
13              627       645       2.00 Mbit/s         130000.00 ms    12000.00 ms     1.99 Mbit/s                 1.95 Mbit/s                 1992               23.90 Mbit                  23.46 Mbit                  handover_eval
14              718       675       2.00 Mbit/s         140000.00 ms    12000.00 ms     1.99 Mbit/s                 1.96 Mbit/s                 1993               23.92 Mbit                  23.47 Mbit                  handover_eval
15              657       681       2.00 Mbit/s         150000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
16              646       672       2.00 Mbit/s         160000.00 ms    12000.00 ms     1.94 Mbit/s                 1.90 Mbit/s                 1939               23.27 Mbit                  22.83 Mbit                  handover_eval
17              696       693       2.00 Mbit/s         170000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
18              694       663       2.00 Mbit/s         180000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
19              663       671       2.00 Mbit/s         190000.00 ms    12000.00 ms     1.98 Mbit/s                 1.94 Mbit/s                 1978               23.74 Mbit                  23.29 Mbit                  handover_eval
20              645       650       2.00 Mbit/s         200000.00 ms    12000.00 ms     1.93 Mbit/s                 1.90 Mbit/s                 1934               23.21 Mbit                  22.77 Mbit                  handover_eval
21              665       668       2.00 Mbit/s         210000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
22              670       679       2.00 Mbit/s         220000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
23              718       703       2.00 Mbit/s         230000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
24              650       711       2.00 Mbit/s         240000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
25              628       678       2.00 Mbit/s         250000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
26              643       628       2.00 Mbit/s         260000.00 ms    12000.00 ms     1.94 Mbit/s                 1.90 Mbit/s                 1939               23.27 Mbit                  22.83 Mbit                  handover_eval
27              697       627       2.00 Mbit/s         270000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 1996               23.95 Mbit                  23.50 Mbit                  handover_eval
28              649       663       2.00 Mbit/s         280000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
29              630       710       2.00 Mbit/s         290000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
30              633       710       2.00 Mbit/s         300000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
31              671       702       2.00 Mbit/s         310000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
32              703       700       2.00 Mbit/s         320000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
33              690       655       2.00 Mbit/s         330000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
34              673       627       2.00 Mbit/s         340000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
35              628       684       2.00 Mbit/s         350000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
36              706       675       2.00 Mbit/s         360000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
37              709       699       2.00 Mbit/s         370000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
38              707       633       2.00 Mbit/s         380000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
39              690       643       2.00 Mbit/s         390000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
40              676       687       2.00 Mbit/s         400000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
41              671       693       2.00 Mbit/s         410000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
42              690       677       2.00 Mbit/s         420000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
43              708       679       2.00 Mbit/s         430000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
44              642       715       2.00 Mbit/s         440000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
45              667       686       2.00 Mbit/s         450000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
46              651       712       2.00 Mbit/s         460000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
47              645       633       2.00 Mbit/s         470000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
48              697       658       2.00 Mbit/s         480000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
49              649       676       2.00 Mbit/s         490000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
