gs_id,time_ns,old_sat,new_sat
0,0,-1,6
1,0,-1,355
2,0,-1,608
3,0,-1,380
4,0,-1,126
5,0,-1,542
6,0,-1,389
7,0,-1,95
8,0,-1,163
9,0,-1,276
10,0,-1,205
11,0,-1,283
12,0,-1,189
13,0,-1,412
14,0,-1,152
15,0,-1,13
16,0,-1,56
17,0,-1,416
18,0,-1,541
19,0,-1,383
20,0,-1,41
21,0,-1,60
22,0,-1,544
23,0,-1,417
24,0,-1,357
25,0,-1,55
26,0,-1,564
27,0,-1,163
28,0,-1,516
29,0,-1,451
30,0,-1,85
31,0,-1,393
32,0,-1,608
33,0,-1,388
34,0,-1,92
35,0,-1,7
36,0,-1,38
37,0,-1,129
38,0,-1,389
39,0,-1,136
40,0,-1,145
41,0,-1,306
42,0,-1,14
43,0,-1,153
44,0,-1,331
45,0,-1,254
46,0,-1,567
47,0,-1,161
48,0,-1,39
49,0,-1,182
50,0,-1,379
51,0,-1,592
52,0,-1,356
53,0,-1,405
54,0,-1,8
55,0,-1,127
56,0,-1,278
57,0,-1,232
58,0,-1,357
59,0,-1,390
60,0,-1,358
61,0,-1,531
62,0,-1,151
63,0,-1,394
64,0,-1,588
65,0,-1,78
66,0,-1,205
67,0,-1,61
68,0,-1,65
69,0,-1,62
70,0,-1,230
71,0,-1,413
72,0,-1,358
73,0,-1,188
74,0,-1,404
75,0,-1,7
76,0,-1,36
77,0,-1,208
78,0,-1,12
79,0,-1,115
80,0,-1,207
81,0,-1,110
82,0,-1,582
83,0,-1,158
84,0,-1,332
85,0,-1,388
86,0,-1,55
87,0,-1,111
88,0,-1,64
89,0,-1,502
90,0,-1,331
91,0,-1,210
92,0,-1,39
93,0,-1,89
94,0,-1,616
95,0,-1,282
96,0,-1,135
97,0,-1,258
98,0,-1,381
99,0,-1,139
0,5000000000,6,-1
1,5000000000,355,-1
2,5000000000,608,-1
3,5000000000,380,-1
4,5000000000,126,-1
5,5000000000,542,-1
6,5000000000,389,-1
7,5000000000,95,-1
8,5000000000,163,-1
9,5000000000,276,-1
10,5000000000,205,-1
11,5000000000,283,-1
12,5000000000,189,-1
13,5000000000,412,-1
14,5000000000,152,-1
15,5000000000,13,-1
16,5000000000,56,-1
17,5000000000,416,-1
18,5000000000,541,-1
19,5000000000,383,-1
20,5000000000,41,-1
21,5000000000,60,-1
22,5000000000,544,-1
23,5000000000,417,-1
24,5000000000,357,-1
25,5000000000,55,-1
26,5000000000,564,-1
27,5000000000,163,-1
28,5000000000,516,-1
29,5000000000,451,-1
30,5000000000,85,-1
31,5000000000,393,-1
32,5000000000,608,-1
33,5000000000,388,-1
34,5000000000,92,-1
35,5000000000,7,-1
36,5000000000,38,-1
37,5000000000,129,-1
38,5000000000,389,-1
39,5000000000,136,-1
40,5000000000,145,-1
41,5000000000,306,-1
42,5000000000,14,-1
43,5000000000,153,-1
44,5000000000,331,-1
45,5000000000,254,-1
46,5000000000,567,-1
47,5000000000,161,-1
48,5000000000,39,-1
49,5000000000,182,-1
50,5000000000,379,-1
51,5000000000,592,-1
52,5000000000,356,-1
53,5000000000,405,-1
54,5000000000,8,-1
55,5000000000,127,-1
56,5000000000,278,-1
57,5000000000,232,-1
58,5000000000,357,-1
59,5000000000,390,-1
60,5000000000,358,-1
61,5000000000,531,-1
62,5000000000,151,-1
63,5000000000,394,-1
64,5000000000,588,-1
65,5000000000,78,-1
66,5000000000,205,541
67,5000000000,61,-1
68,5000000000,65,-1
69,5000000000,62,-1
70,5000000000,230,-1
71,5000000000,413,-1
72,5000000000,358,-1
73,5000000000,188,-1
74,5000000000,404,-1
75,5000000000,7,31
76,5000000000,36,-1
77,5000000000,208,-1
78,5000000000,12,-1
79,5000000000,115,-1
80,5000000000,207,-1
81,5000000000,110,-1
82,5000000000,582,-1
83,5000000000,158,-1
84,5000000000,332,-1
85,5000000000,388,-1
86,5000000000,55,-1
87,5000000000,111,-1
88,5000000000,64,-1
89,5000000000,502,-1
90,5000000000,331,-1
91,5000000000,210,-1
92,5000000000,39,-1
93,5000000000,89,282
94,5000000000,616,-1
95,5000000000,282,-1
96,5000000000,135,-1
97,5000000000,258,-1
98,5000000000,381,-1
99,5000000000,139,-1
27,10000000000,-1,333
63,10000000000,-1,418
66,10000000000,541,-1
67,10000000000,-1,134
69,10000000000,-1,159
72,10000000000,-1,333
75,10000000000,31,-1
93,10000000000,282,-1
94,10000000000,-1,255
12,15000000000,-1,407
13,15000000000,-1,509
27,15000000000,333,-1
47,15000000000,-1,185
55,15000000000,-1,369
63,15000000000,418,-1
67,15000000000,134,-1
69,15000000000,159,-1
72,15000000000,333,-1
74,15000000000,-1,92
94,15000000000,255,-1
12,20000000000,407,-1
13,20000000000,509,-1
18,20000000000,-1,180
26,20000000000,-1,132
39,20000000000,-1,160
47,20000000000,185,-1
55,20000000000,369,-1
74,20000000000,92,-1
93,20000000000,-1,306
18,25000000000,180,-1
22,25000000000,-1,277
26,25000000000,132,-1
33,25000000000,-1,363
37,25000000000,-1,442
39,25000000000,160,-1
93,25000000000,306,-1
22,30000000000,277,-1
33,30000000000,363,-1
37,30000000000,442,-1
44,30000000000,-1,89
12,35000000000,-1,382
30,35000000000,-1,36
36,35000000000,-1,13
44,35000000000,89,-1
76,35000000000,-1,109
79,35000000000,-1,139
86,35000000000,-1,79
12,40000000000,382,-1
28,40000000000,-1,155
30,40000000000,36,-1
36,40000000000,13,-1
60,40000000000,-1,212
76,40000000000,109,-1
79,40000000000,139,-1
86,40000000000,79,391
19,45000000000,-1,237
27,45000000000,-1,308
28,45000000000,155,-1
38,45000000000,-1,582
60,45000000000,212,-1
63,45000000000,-1,127
86,45000000000,391,-1
87,45000000000,-1,135
89,45000000000,-1,119
19,50000000000,237,-1
27,50000000000,308,-1
38,50000000000,582,-1
63,50000000000,127,-1
87,50000000000,135,-1
89,50000000000,119,-1
96,55000000000,-1,86
21,60000000000,-1,11
34,60000000000,-1,403
42,60000000000,-1,231
46,60000000000,-1,253
78,60000000000,-1,133
96,60000000000,86,-1
0,65000000000,-1,365
16,65000000000,-1,415
21,65000000000,11,-1
34,65000000000,403,-1
42,65000000000,231,-1
46,65000000000,253,-1
48,65000000000,-1,256
78,65000000000,133,-1
79,65000000000,-1,356
0,70000000000,365,-1
16,70000000000,415,-1
48,70000000000,256,-1
61,70000000000,-1,289
