Source    Target    Mean latency there    Mean latency back     Min. RTT        Mean RTT        Max. RTT        Smp.std. RTT    Reply arrival
625       626       72.93 ms              74.22 ms              122.94 ms       147.15 ms       335.23 ms       15.58 ms        239/240 (100%)
626       627       67.34 ms              68.28 ms              118.57 ms       135.62 ms       271.87 ms       16.45 ms        240/240 (100%)
627       628       64.69 ms              64.09 ms              114.58 ms       128.78 ms       223.06 ms       15.57 ms        240/240 (100%)
628       629       74.27 ms              74.70 ms              134.04 ms       148.97 ms       188.84 ms       7.54 ms         240/240 (100%)
629       630       70.10 ms              70.33 ms              73.13 ms        140.43 ms       248.87 ms       39.67 ms        240/240 (100%)
630       631       63.35 ms              62.54 ms              104.90 ms       125.89 ms       206.89 ms       26.49 ms        240/240 (100%)
631       632       86.35 ms              87.44 ms              108.02 ms       173.79 ms       275.82 ms       21.93 ms        240/240 (100%)
632       633       71.45 ms              71.54 ms              115.73 ms       142.99 ms       231.77 ms       30.09 ms        240/240 (100%)
633       634       90.51 ms              91.71 ms              101.79 ms       182.23 ms       300.70 ms       30.99 ms        240/240 (100%)
634       635       53.85 ms              53.52 ms              73.69 ms        107.36 ms       277.61 ms       52.85 ms        240/240 (100%)
635       636       49.57 ms              50.26 ms              67.69 ms        99.83 ms        255.34 ms       36.52 ms        240/240 (100%)
636       637       45.57 ms              46.05 ms              37.35 ms        91.63 ms        213.24 ms       39.32 ms        240/240 (100%)
637       638       44.17 ms              45.29 ms              63.29 ms        89.46 ms        211.04 ms       32.26 ms        240/240 (100%)
638       639       81.94 ms              81.49 ms              88.86 ms        163.43 ms       258.16 ms       35.73 ms        239/240 (100%)
639       640       92.96 ms              92.48 ms              86.59 ms        185.44 ms       322.20 ms       27.89 ms        237/240 (99%)
640       641       55.30 ms              55.92 ms              75.61 ms        111.22 ms       218.01 ms       29.08 ms        240/240 (100%)
641       642       57.17 ms              56.65 ms              11.50 ms        113.81 ms       356.38 ms       90.87 ms        240/240 (100%)
642       643       91.14 ms              92.17 ms              67.60 ms        183.30 ms       295.51 ms       38.89 ms        239/240 (100%)
643       644       67.36 ms              68.06 ms              103.47 ms       135.43 ms       365.50 ms       23.92 ms        239/240 (100%)
644       645       53.79 ms              54.94 ms              59.78 ms        108.73 ms       300.36 ms       43.58 ms        240/240 (100%)
645       646       65.62 ms              65.42 ms              67.24 ms        131.04 ms       267.89 ms       39.80 ms        237/240 (99%)
646       647       80.34 ms              81.51 ms              132.18 ms       161.86 ms       267.85 ms       23.97 ms        240/240 (100%)
647       648       75.28 ms              75.10 ms              83.06 ms        150.38 ms       209.18 ms       37.89 ms        238/240 (99%)
648       649       72.67 ms              73.63 ms              132.41 ms       146.29 ms       340.45 ms       24.28 ms        239/240 (100%)
649       650       73.13 ms              71.85 ms              123.85 ms       144.98 ms       338.48 ms       25.66 ms        239/240 (100%)
650       651       53.64 ms              53.22 ms              60.68 ms        106.86 ms       284.61 ms       48.17 ms        239/240 (100%)
651       652       47.94 ms              48.90 ms              74.93 ms        96.84 ms        191.24 ms       19.94 ms        240/240 (100%)
652       653       68.95 ms              68.30 ms              95.93 ms        137.25 ms       233.46 ms       23.08 ms        240/240 (100%)
653       654       71.91 ms              71.80 ms              112.31 ms       143.71 ms       177.45 ms       18.95 ms        239/240 (100%)
654       655       85.09 ms              84.94 ms              104.21 ms       170.04 ms       411.82 ms       34.19 ms        239/240 (100%)
655       656       79.20 ms              81.28 ms              90.65 ms        160.48 ms       382.54 ms       46.39 ms        239/240 (100%)
656       657       95.31 ms              97.07 ms              93.60 ms        192.38 ms       385.28 ms       40.22 ms        240/240 (100%)
657       658       59.01 ms              58.42 ms              28.87 ms        117.44 ms       310.32 ms       36.77 ms        240/240 (100%)
658       659       70.10 ms              69.57 ms              108.83 ms       139.67 ms       287.77 ms       29.48 ms        239/240 (100%)
