gs_id,time_ns,old_sat,new_sat
0,0,-1,6
1,0,-1,355
2,0,-1,608
3,0,-1,380
4,0,-1,126
5,0,-1,542
6,0,-1,389
7,0,-1,95
8,0,-1,163
9,0,-1,276
10,0,-1,205
11,0,-1,283
12,0,-1,189
13,0,-1,412
14,0,-1,152
15,0,-1,13
16,0,-1,56
17,0,-1,416
18,0,-1,541
19,0,-1,383
20,0,-1,41
21,0,-1,60
22,0,-1,544
23,0,-1,417
24,0,-1,357
25,0,-1,55
26,0,-1,564
27,0,-1,163
28,0,-1,516
29,0,-1,451
30,0,-1,85
31,0,-1,393
32,0,-1,608
33,0,-1,388
34,0,-1,92
35,0,-1,7
36,0,-1,38
37,0,-1,129
38,0,-1,389
39,0,-1,136
40,0,-1,145
41,0,-1,306
42,0,-1,14
43,0,-1,153
44,0,-1,331
45,0,-1,254
46,0,-1,567
47,0,-1,161
48,0,-1,39
49,0,-1,182
50,0,-1,379
51,0,-1,592
52,0,-1,356
53,0,-1,405
54,0,-1,8
55,0,-1,127
56,0,-1,278
57,0,-1,232
58,0,-1,357
59,0,-1,390
60,0,-1,358
61,0,-1,531
62,0,-1,151
63,0,-1,394
64,0,-1,588
65,0,-1,78
66,0,-1,205
67,0,-1,61
68,0,-1,65
69,0,-1,62
70,0,-1,230
71,0,-1,413
72,0,-1,358
73,0,-1,188
74,0,-1,404
75,0,-1,7
76,0,-1,36
77,0,-1,208
78,0,-1,12
79,0,-1,115
80,0,-1,207
81,0,-1,110
82,0,-1,582
83,0,-1,158
84,0,-1,332
85,0,-1,388
86,0,-1,55
87,0,-1,111
88,0,-1,64
89,0,-1,502
90,0,-1,331
91,0,-1,210
92,0,-1,39
93,0,-1,89
94,0,-1,616
95,0,-1,282
96,0,-1,135
97,0,-1,258
98,0,-1,381
99,0,-1,139
0,60000000000,6,-1
1,60000000000,355,-1
2,60000000000,608,-1
3,60000000000,380,-1
4,60000000000,126,-1
5,60000000000,542,-1
6,60000000000,389,-1
7,60000000000,95,-1
8,60000000000,163,-1
9,60000000000,276,-1
10,60000000000,205,-1
11,60000000000,283,-1
12,60000000000,189,382
13,60000000000,412,509
14,60000000000,152,-1
15,60000000000,13,-1
16,60000000000,56,-1
17,60000000000,416,-1
18,60000000000,541,180
19,60000000000,383,237
20,60000000000,41,-1
21,60000000000,60,11
22,60000000000,544,277
23,60000000000,417,-1
24,60000000000,357,-1
25,60000000000,55,-1
26,60000000000,564,132
27,60000000000,163,308
28,60000000000,516,155
29,60000000000,451,-1
30,60000000000,85,36
31,60000000000,393,-1
32,60000000000,608,-1
33,60000000000,388,363
34,60000000000,92,403
35,60000000000,7,-1
36,60000000000,38,13
37,60000000000,129,442
38,60000000000,389,582
39,60000000000,136,160
40,60000000000,145,-1
41,60000000000,306,-1
42,60000000000,14,231
43,60000000000,153,-1
44,60000000000,331,89
45,60000000000,254,-1
46,60000000000,567,253
47,60000000000,161,185
48,60000000000,39,-1
49,60000000000,182,-1
50,60000000000,379,-1
51,60000000000,592,-1
52,60000000000,356,-1
53,60000000000,405,-1
54,60000000000,8,-1
55,60000000000,127,369
56,60000000000,278,-1
57,60000000000,232,-1
58,60000000000,357,-1
59,60000000000,390,-1
60,60000000000,358,212
61,60000000000,531,-1
62,60000000000,151,-1
63,60000000000,394,127
64,60000000000,588,-1
65,60000000000,78,-1
66,60000000000,205,541
67,60000000000,61,134
68,60000000000,65,-1
69,60000000000,62,159
70,60000000000,230,-1
71,60000000000,413,-1
72,60000000000,358,333
73,60000000000,188,-1
74,60000000000,404,92
75,60000000000,7,31
76,60000000000,36,109
77,60000000000,208,-1
78,60000000000,12,133
79,60000000000,115,139
80,60000000000,207,-1
81,60000000000,110,-1
82,60000000000,582,-1
83,60000000000,158,-1
84,60000000000,332,-1
85,60000000000,388,-1
86,60000000000,55,391
87,60000000000,111,135
88,60000000000,64,-1
89,60000000000,502,119
90,60000000000,331,-1
91,60000000000,210,-1
92,60000000000,39,-1
93,60000000000,89,306
94,60000000000,616,255
95,60000000000,282,-1
96,60000000000,135,86
97,60000000000,258,-1
98,60000000000,381,-1
99,60000000000,139,-1
0,120000000000,-1,5
1,120000000000,-1,90
2,120000000000,-1,462
3,120000000000,-1,115
7,120000000000,-1,525
8,120000000000,-1,357
9,120000000000,-1,519
10,120000000000,-1,565
11,120000000000,-1,137
12,120000000000,382,-1
13,120000000000,509,533
14,120000000000,-1,418
15,120000000000,-1,182
16,120000000000,-1,55
17,120000000000,-1,79
18,120000000000,180,540
19,120000000000,237,358
20,120000000000,-1,40
21,120000000000,11,84
22,120000000000,277,543
23,120000000000,-1,103
24,120000000000,-1,138
25,120000000000,-1,415
26,120000000000,132,563
27,120000000000,308,162
28,120000000000,155,515
30,120000000000,36,60
31,120000000000,-1,102
32,120000000000,-1,462
33,120000000000,363,557
34,120000000000,403,-1
35,120000000000,-1,438
36,120000000000,13,207
37,120000000000,442,128
38,120000000000,582,388
39,120000000000,160,-1
40,120000000000,-1,575
41,120000000000,-1,64
42,120000000000,231,-1
44,120000000000,89,-1
46,120000000000,253,-1
47,120000000000,185,-1
48,120000000000,-1,256
49,120000000000,-1,613
51,120000000000,-1,278
52,120000000000,-1,114
53,120000000000,-1,140
54,120000000000,-1,487
55,120000000000,369,126
56,120000000000,-1,567
57,120000000000,-1,38
58,120000000000,-1,163
59,120000000000,-1,30
60,120000000000,212,-1
61,120000000000,-1,289
63,120000000000,127,-1
64,120000000000,-1,157
66,120000000000,541,204
67,120000000000,134,36
68,120000000000,-1,330
69,120000000000,159,183
70,120000000000,-1,590
71,120000000000,-1,607
72,120000000000,333,187
73,120000000000,-1,357
74,120000000000,92,403
75,120000000000,31,414
76,120000000000,109,60
77,120000000000,-1,62
78,120000000000,133,-1
79,120000000000,139,356
80,120000000000,-1,13
81,120000000000,-1,85
82,120000000000,-1,363
83,120000000000,-1,12
84,120000000000,-1,138
85,120000000000,-1,412
86,120000000000,391,-1
87,120000000000,135,-1
88,120000000000,-1,281
89,120000000000,119,-1
90,120000000000,-1,89
91,120000000000,-1,234
92,120000000000,-1,38
93,120000000000,306,-1
94,120000000000,255,615
95,120000000000,-1,88
96,120000000000,86,110
97,120000000000,-1,112
98,120000000000,-1,139
99,120000000000,-1,356
0,180000000000,5,-1
1,180000000000,90,-1
2,180000000000,462,437
3,180000000000,115,379
