Source    Target    Mean latency there    Mean latency back     Min. RTT        Mean RTT        Max. RTT        Smp.std. RTT    Reply arrival
625       626       69.51 ms              69.52 ms              120.79 ms       139.02 ms       158.26 ms       10.46 ms        1440/1440 (100%)
626       627       65.29 ms              65.29 ms              117.85 ms       130.57 ms       148.97 ms       8.14 ms         1440/1440 (100%)
627       628       64.50 ms              64.50 ms              112.42 ms       129.00 ms       156.24 ms       10.27 ms        1440/1440 (100%)
628       629       74.65 ms              74.63 ms              134.36 ms       149.28 ms       165.89 ms       5.89 ms         1440/1440 (100%)
629       630       64.12 ms              64.15 ms              71.29 ms        128.28 ms       203.87 ms       40.79 ms        1440/1440 (100%)
630       631       69.61 ms              69.61 ms              104.90 ms       139.22 ms       186.79 ms       27.28 ms        1440/1440 (100%)
631       632       81.84 ms              81.84 ms              107.51 ms       163.68 ms       192.88 ms       27.47 ms        1440/1440 (100%)
632       633       78.31 ms              78.31 ms              115.73 ms       156.62 ms       231.83 ms       40.35 ms        1440/1440 (100%)
633       634       90.66 ms              90.66 ms              99.79 ms        181.33 ms       203.70 ms       25.73 ms        1440/1440 (100%)
634       635       57.53 ms              57.52 ms              72.82 ms        115.04 ms       224.85 ms       55.30 ms        1440/1440 (100%)
635       636       52.76 ms              52.79 ms              67.73 ms        105.55 ms       181.23 ms       31.43 ms        1440/1440 (100%)
636       637       42.73 ms              42.71 ms              37.20 ms        85.44 ms        159.21 ms       38.34 ms        1440/1440 (100%)
637       638       47.22 ms              47.21 ms              63.35 ms        94.43 ms        157.42 ms       32.83 ms        1440/1440 (100%)
638       639       79.76 ms              79.79 ms              86.78 ms        159.54 ms       208.53 ms       37.12 ms        1440/1440 (100%)
639       640       85.84 ms              85.81 ms              86.34 ms        171.64 ms       211.71 ms       35.88 ms        1440/1440 (100%)
640       641       52.49 ms              52.49 ms              75.44 ms        104.97 ms       166.94 ms       25.56 ms        1440/1440 (100%)
641       642       68.98 ms              68.98 ms              20.41 ms        137.96 ms       219.01 ms       85.43 ms        1440/1440 (100%)
642       643       88.71 ms              88.68 ms              67.11 ms        177.39 ms       223.27 ms       43.86 ms        1440/1440 (100%)
643       644       64.73 ms              64.73 ms              103.41 ms       129.46 ms       162.70 ms       18.73 ms        1440/1440 (100%)
644       645       52.99 ms              53.01 ms              59.69 ms        106.01 ms       188.90 ms       40.55 ms        1440/1440 (100%)
645       646       58.52 ms              58.51 ms              66.11 ms        117.03 ms       182.87 ms       39.93 ms        1440/1440 (100%)
646       647       81.76 ms              81.75 ms              136.40 ms       163.51 ms       212.41 ms       20.20 ms        1440/1440 (100%)
647       648       75.51 ms              75.51 ms              83.40 ms        151.03 ms       189.31 ms       34.61 ms        1440/1440 (100%)
648       649       72.21 ms              72.39 ms              128.12 ms       144.60 ms       377.74 ms       10.16 ms        1439/1440 (100%)
649       650       69.03 ms              68.60 ms              123.29 ms       137.63 ms       470.86 ms       13.47 ms        1440/1440 (100%)
