TCP Flow ID     Source    Target    Size            Start time (ns)   End time (ns)     Duration        Sent            Progress     Avg. rate       Finished?     Metadata
0               630       639       40.00 Mbit      0                 8552795566        8552.80 ms      40.00 Mbit      100.0%       4.7 Mbit/s      YES           handover_eval
1               662       674       40.00 Mbit      5000000000        9845491266        4845.49 ms      40.00 Mbit      100.0%       8.3 Mbit/s      YES           handover_eval
2               704       654       40.00 Mbit      10000000000       18807120640       8807.12 ms      40.00 Mbit      100.0%       4.5 Mbit/s      YES           handover_eval
3               640       655       40.00 Mbit      15000000000       19934981967       4934.98 ms      40.00 Mbit      100.0%       8.1 Mbit/s      YES           handover_eval
4               640       717       40.00 Mbit      20000000000       28585385937       8585.39 ms      40.00 Mbit      100.0%       4.7 Mbit/s      YES           handover_eval
5               706       684       40.00 Mbit      25000000000       33158557251       8158.56 ms      40.00 Mbit      100.0%       4.9 Mbit/s      YES           handover_eval
6               684       670       40.00 Mbit      30000000000       43386433475       13386.43 ms     40.00 Mbit      100.0%       3.0 Mbit/s      YES           handover_eval
7               662       659       40.00 Mbit      35000000000       42947482543       7947.48 ms      40.00 Mbit      100.0%       5.0 Mbit/s      YES           handover_eval
8               695       639       40.00 Mbit      40000000000       45330137733       5330.14 ms      40.00 Mbit      100.0%       7.5 Mbit/s      YES           handover_eval
9               689       720       40.00 Mbit      45000000000       53015190578       8015.19 ms      40.00 Mbit      100.0%       5.0 Mbit/s      YES           handover_eval
10              697       674       40.00 Mbit      50000000000       58938335515       8938.34 ms      40.00 Mbit      100.0%       4.5 Mbit/s      YES           handover_eval
11              696       667       40.00 Mbit      55000000000       65873665359       10873.67 ms     40.00 Mbit      100.0%       3.7 Mbit/s      YES           handover_eval
12              641       713       40.00 Mbit      60000000000       65849186466       5849.19 ms      40.00 Mbit      100.0%       6.8 Mbit/s      YES           handover_eval
13              649       660       40.00 Mbit      65000000000       89895140319       24895.14 ms     40.00 Mbit      100.0%       1.6 Mbit/s      YES           handover_eval
14              659       720       40.00 Mbit      70000000000       77500485678       7500.49 ms      40.00 Mbit      100.0%       5.3 Mbit/s      YES           handover_eval
15              670       700       40.00 Mbit      75000000000       86388812481       11388.81 ms     40.00 Mbit      100.0%       3.5 Mbit/s      YES           handover_eval
16              668       700       40.00 Mbit      80000000000       85615884882       5615.88 ms      40.00 Mbit      100.0%       7.1 Mbit/s      YES           handover_eval
17              694       668       40.00 Mbit      85000000000       90431552184       5431.55 ms      40.00 Mbit      100.0%       7.4 Mbit/s      YES           handover_eval
18              705       716       40.00 Mbit      90000000000       94493869378       4493.87 ms      40.00 Mbit      100.0%       8.9 Mbit/s      YES           handover_eval
19              701       633       40.00 Mbit      95000000000       100146051086      5146.05 ms      40.00 Mbit      100.0%       7.8 Mbit/s      YES           handover_eval
20              708       694       40.00 Mbit      100000000000      104327068795      4327.07 ms      40.00 Mbit      100.0%       9.2 Mbit/s      YES           handover_eval
21              645       673       40.00 Mbit      105000000000      113620923997      8620.92 ms      40.00 Mbit      100.0%       4.6 Mbit/s      YES           handover_eval
22              657       661       40.00 Mbit      110000000000      118874416651      8874.42 ms      40.00 Mbit      100.0%       4.5 Mbit/s      YES           handover_eval
23              682       647       40.00 Mbit      115000000000      122243130347      7243.13 ms      40.00 Mbit      100.0%       5.5 Mbit/s      YES           handover_eval
24              665       655       40.00 Mbit      120000000000      131851658933      11851.66 ms     40.00 Mbit      100.0%       3.4 Mbit/s      YES           handover_eval
