Source    Target    Mean latency there    Mean latency back     Min. RTT        Mean RTT        Max. RTT        Smp.std. RTT    Reply arrival
625       626       67.93 ms              67.96 ms              117.56 ms       135.89 ms       157.40 ms       10.53 ms        1440/1440 (100%)
626       627       63.35 ms              63.34 ms              111.89 ms       126.69 ms       147.60 ms       8.03 ms         1440/1440 (100%)
627       628       66.47 ms              66.47 ms              112.42 ms       132.94 ms       156.00 ms       9.59 ms         1440/1440 (100%)
628       629       75.68 ms              75.68 ms              134.15 ms       151.36 ms       171.49 ms       8.09 ms         1440/1440 (100%)
629       630       64.97 ms              64.97 ms              72.40 ms        129.93 ms       185.77 ms       34.62 ms        1440/1440 (100%)
630       631       70.68 ms              70.68 ms              99.90 ms        141.36 ms       188.03 ms       24.84 ms        1440/1440 (100%)
631       632       79.58 ms              79.57 ms              107.52 ms       159.15 ms       201.40 ms       31.44 ms        1440/1440 (100%)
632       633       77.89 ms              77.88 ms              98.74 ms        155.78 ms       235.05 ms       45.07 ms        1440/1440 (100%)
633       634       90.66 ms              90.69 ms              100.84 ms       181.35 ms       211.07 ms       25.80 ms        1440/1440 (100%)
634       635       62.02 ms              62.02 ms              68.73 ms        124.05 ms       227.43 ms       55.96 ms        1440/1440 (100%)
635       636       53.84 ms              53.85 ms              63.54 ms        107.69 ms       176.60 ms       35.39 ms        1440/1440 (100%)
636       637       41.47 ms              41.46 ms              37.77 ms        82.93 ms        167.86 ms       36.37 ms        1440/1440 (100%)
637       638       47.44 ms              47.44 ms              61.92 ms        94.88 ms        155.26 ms       32.02 ms        1440/1440 (100%)
638       639       77.05 ms              77.03 ms              81.69 ms        154.08 ms       203.07 ms       37.26 ms        1440/1440 (100%)
639       640       86.69 ms              86.72 ms              81.62 ms        173.42 ms       240.67 ms       36.52 ms        1440/1440 (100%)
640       641       55.61 ms              55.59 ms              76.23 ms        111.21 ms       212.01 ms       28.88 ms        1440/1440 (100%)
641       642       68.98 ms              68.99 ms              11.35 ms        137.98 ms       225.71 ms       84.87 ms        1440/1440 (100%)
642       643       89.00 ms              89.00 ms              55.82 ms        178.00 ms       214.08 ms       46.38 ms        1440/1440 (100%)
643       644       63.45 ms              63.44 ms              100.33 ms       126.89 ms       154.85 ms       18.26 ms        1440/1440 (100%)
644       645       54.36 ms              54.37 ms              55.50 ms        108.73 ms       205.19 ms       40.51 ms        1440/1440 (100%)
645       646       60.81 ms              60.70 ms              64.12 ms        121.51 ms       198.95 ms       38.62 ms        1440/1440 (100%)
646       647       79.72 ms              79.74 ms              114.18 ms       159.47 ms       256.82 ms       25.91 ms        1440/1440 (100%)
647       648       73.15 ms              73.16 ms              76.52 ms        146.31 ms       192.02 ms       38.73 ms        1440/1440 (100%)
648       649       71.40 ms              71.44 ms              128.07 ms       142.83 ms       164.31 ms       8.51 ms         1440/1440 (100%)
649       650       66.83 ms              66.82 ms              117.49 ms       133.66 ms       165.30 ms       10.36 ms        1440/1440 (100%)
